quadweek,year_week,basket,product BS,CountProduct_W,StockQty_W,Stock$_W,AvgAgeStock,PurchaseQty,Purchase$,AvgListPrice,SoldQty,SoldQty_In,SoldQty_Out,SoldQty_OutByCondition,SoldQty_OutByMinPrice,SoldQty_none,SoldToStock_W,SoldToStock_W_In,SoldToStock_W_Out,SoldToStock_W_OutByCondition,SoldToStock_W_OutByMinPrice,SoldToStock_W_none,AvgSalesPeriod,AvgSalesPeriod_In,AvgSalesPeriod_Out,AvgSalesPeriod_OutByCondition,AvgSalesPeriod_OutByMinPrice,AvgSalesPeriod_none,Revenue,Revenue_In,Revenue_Out,Revenue_OutByCondition,Revenue_OutByMinPrice,Revenue_none,AvgSalePrice,AvgSalePrice_In,AvgSalePrice_Out,AvgSalePrice_OutByCondition,AvgSalePrice_OutByMinPrice,AvgSalePrice_none,Recap,Recap_In,Recap_Out,Recap_OutByCondition,Recap_OutByMinPrice,Recap_none,RecapPerStockQty_W,RecapPerStockQty_W_In,RecapPerStockQty_W_Out,RecapPerStockQty_W_OutByCondition,RecapPerStockQty_W_OutByMinPrice,RecapPerStockQty_W_none,RecapPerStock$_W,RecapPerStock$_W_In,RecapPerStock$_W_Out,RecapPerStock$_W_OutByCondition,RecapPerStock$_W_OutByMinPrice,RecapPerStock$_W_none,Margin,Margin_In,Margin_Out,Margin_OutByCondition,Margin_OutByMinPrice,Margin_none,MarginUnit,MarginUnit_In,MarginUnit_Out,MarginUnit_OutByCondition,MarginUnit_OutByMinPrice,MarginUnit_none,RecapUnit,RecapUnit_In,RecapUnit_Out,RecapUnit_OutByCondition,RecapUnit_OutByMinPrice,RecapUnit_none,Avg_Basket_IRR,Avg_Basket_Velocity,Avg_Basket_Margin,Avg_IRR,Avg_Margin,Avg_SaleDuration,FDR
16,2026-12,1111,BasketDiscountInMarket,9,1306.75,30994.029,288.3564513,22,556.56,37.31038837,11,11,,,,,0.84%,0.84%,,,,,300.2727091,300.2727091,,,,,503.22,503.22,,,,,45.74727273,45.74727273,,,,,159.22,159.22,,,,,0.12184427,0.12184427,,,,,0.005,0.005137119,,,,,-103.24,-103.24,,,,,-9.385454545,-9.385454545,,,,,14.47454545,14.47454545,,,,,1,1,1,-0.86001756,-13.34091066,994.2743505,73.62%
16,2026-12,1111,BasketDiscountOutOfMarketByMinPrice,12,1605.5,37588.808,332.1851893,9,212.06,24.78227655,22,,,,22,,1.37%,,,,0.013702896,,536.7727364,,,,536.7727364,,568.44,,,,568.44,,25.83818182,,,,25.83818182,,72.8,,,,72.8,,0.04534413,,,,0.04534413,,0.002,,,,0.001936747,,-436.28,,,,-436.28,,-19.83090909,,,,-19.83090909,,3.309090909,,,,3.309090909,,1,1,1,-0.974521968,-22.10762068,1362.442627,82.53%
16,2026-12,1112,BasketDiscountInMarket,13,954,22698.378,227.3002875,24,621.97,39.03397799,23,23,,,,,2.41%,2.41%,,,,,380.5217261,380.5217261,,,,,852.12,852.12,,,,,37.04869565,37.04869565,,,,,178.49,178.49,,,,,0.187096436,0.187096436,,,,,0.008,0.007863557,,,,,-420.05,-420.05,,,,,-18.26304348,-18.26304348,,,,,7.760434783,7.760434783,,,,,1,1,1,-0.757351317,-11.67785377,537.8630791,69.87%
16,2026-12,1112,BasketDiscountOutOfMarketByMinPrice,39,2627,61170.211,308.2176897,34,865.47,28.83903502,69,5,,,64,,2.63%,0.19%,,,0.024362391,,207.1014507,194.2,,,208.1093766,,2079.78,147.16,,,1932.62,,30.14173913,29.432,,,30.1971875,,653.43,60.43,,,593,,0.248736201,0.023003426,,,0.225732775,,0.011,0.000987899,,,0.009694261,,-931.93,-44.8,,,-887.13,,-13.50623188,-8.96,,,-13.86140625,,9.47,12.086,,,9.265625,,1,1,1,-0.926114105,-18.70488675,1099.058445,74.05%
16,2026-12,1113,BasketDiscountInMarket,214,4573.75,106910.877,281.0438232,72,1809.15,37.18291774,166,156,,,6,4,3.63%,3.41%,,,0.001311834,0.000874556,249.7650669,240.5128263,,,463.1667,290.5,6171.02,5800.16,,,215.46,155.4,37.17481928,37.18051282,,,35.91,38.85,2214.91,2141.93,,,30.3,42.68,0.484265646,0.468309374,,,0.006624761,0.009331511,0.021,0.020034725,,,0.000283414,0.000399211,-1680.26,-1546.38,,,-84.82,-49.06,-10.12204819,-9.912692308,,,-14.13666667,-12.265,13.34283133,13.73032051,,,5.05,10.67,1,1,1,-0.827498925,-11.70592293,1024.01515,74.40%
16,2026-12,1113,BasketDiscountOutOfMarket,18,296.5,6940.906,326.6610616,5,124.81,38.2370742,16,,16,,,,5.40%,,0.053962901,,,,346.5625,,346.5625,,,,615.64,,615.64,,,,38.4775,,38.4775,,,,276.54,,276.54,,,,0.932681282,,0.932681282,,,,0.040,,0.039842061,,,,-100.49,,-100.49,,,,-6.280625,,-6.280625,,,,17.28375,,17.28375,,,,1,1,1,-0.847380597,-11.17592749,1410.555481,82.44%
16,2026-12,1113,BasketDiscountOutOfMarketByCondition,2,25,1023.07,128.66,,,56.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-0.72734568,-15.9864,637.5796,71.68%
16,2026-12,1113,BasketDiscountOutOfMarketByMinPrice,232,5084,116936.834,346.9789013,72,1767.78,33.63754819,128,47,,,81,,2.52%,0.92%,,,0.015932337,,159.7343633,152.5106085,,,163.9259247,,4279.07,1508.09,,,2770.98,,33.43023438,32.08702128,,,34.20962963,,1425.79,597.15,,,828.64,,0.280446499,0.117456727,,,0.162989772,,0.012,0.005106603,,,0.007086219,,-1630.43,-543.43,,,-1087,,-12.73773438,-11.56234043,,,-13.41975309,,11.13898438,12.70531915,,,10.23012346,,1,1,1,-0.898715741,-14.06098594,1357.906404,78.15%
16,2026-12,1114,BasketDiscountInMarket,846,3154.917,74477.872,269.0376252,56,1451.34,39.02107144,132,130,1,,1,,4.18%,4.12%,0.000316966,,0.000316966,,209.6590909,209.9846154,252,,125,,5338.34,5256.74,36.77,,44.83,,40.4419697,40.43646154,36.77,,44.83,,2366.6,2322.53,13.01,,31.06,,0.750130669,0.736161997,0.004123722,,0.00984495,,0.032,0.031184162,0.000174683,,0.000417037,,-803.07,-794.42,-16.46,,7.81,,-6.083863636,-6.110923077,-16.46,,7.81,,17.92878788,17.86561538,13.01,,31.06,,1,1,1,-0.785042749,-8.531015472,900.2569952,71.39%
16,2026-12,1114,BasketDiscountOutOfMarket,356,1111.833,26825.391,286.7330552,12,324.9,38.52801129,27,,27,,,,2.43%,,0.024284223,,,,263.7037037,,263.7037037,,,,1052.63,,1052.63,,,,38.9862963,,38.9862963,,,,455.04,,455.04,,,,0.409270097,,0.409270097,,,,0.017,,0.016963033,,,,-235.57,,-235.57,,,,-8.724814815,,-8.724814815,,,,16.85333333,,16.85333333,,,,1,1,1,-0.815423868,-8.281888836,1042.835013,82.60%
16,2026-12,1114,BasketDiscountOutOfMarketByCondition,52,152,4003.041,184.3214655,2,50.98,44.45282895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-0.724087734,-6.316907895,743.4195888,85.38%
16,2026-12,1114,BasketDiscountOutOfMarketByMinPrice,819,3184.25,71558.473,370.8956698,32,809.07,33.74007773,74,9,,,65,,2.32%,0.28%,,,0.02041297,,217.2027041,234.9999889,,,214.7384646,,2613.52,324.87,,,2288.65,,35.31783784,36.09666667,,,35.21,,1092.86,122.58,,,970.28,,0.343207977,0.038495721,,,0.304712256,,0.015,0.001713005,,,0.013559261,,-682.85,-106.7,,,-576.15,,-9.227702703,-11.85555556,,,-8.863846154,,14.76837838,13.62,,,14.92738462,,1,1,1,-0.878736597,-10.30231059,1288.881562,79.21%
16,2026-12,1114,none,11,24,717.24,575.4166667,,,48.82041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-0.819067458,-6.766666667,1519.009167,91.33%
16,2026-12,1115,BasketDiscountInMarket,979,983.583,24067.045,275.0702804,29,750.93,38.2566675,45,43,1,,,1,4.58%,4.37%,0.001016691,,,0.001016691,212.8,222.5813953,4,,,1,1870.44,1794.31,41.03,,,35.1,41.56533333,41.72813953,41.03,,,35.1,751.07,710.75,22.91,,,17.41,0.763606122,0.72261314,0.023292391,,,0.017700591,0.031,0.029532084,0.000951924,,,0.000723396,-380.08,-370.82,-2.33,,,-6.93,-8.446222222,-8.62372093,-2.33,,,-6.93,16.69044444,16.52906977,22.91,,,17.41,1,1,1,-0.769131027,-5.32275936,530.0248784,78.90%
16,2026-12,1115,BasketDiscountOutOfMarket,1329,1333.25,32773.887,363.4527236,13,357.77,37.35707857,40,,38,,,2,3.00%,,0.028501781,,,0.001500094,310.475,,326.7631579,,,1,1545.32,,1464.38,,,80.94,38.633,,38.53631579,,,40.47,568.29,,526.97,,,41.32,0.42624414,,0.395252203,,,0.030991937,0.017,,0.016078959,,,0.00126076,-405.6,,-364.96,,,-40.64,-10.14,,-9.604210526,,,-20.32,14.20725,,13.86763158,,,20.66,1,1,1,-0.806886674,-4.852248266,678.6045378,93.85%
