quadweek,year_week,basket,CountProduct_W,StockQty_W,Stock$_W,AvgAgeStock,PurchaseQty,Purchase$,AvgListPrice,SoldQty,SoldQty_In,SoldQty_Out,SoldQty_OutByCondition,SoldQty_OutByMinPrice,SoldQty_none,SoldToStock_W,SoldToStock_W_In,SoldToStock_W_Out,SoldToStock_W_OutByCondition,SoldToStock_W_OutByMinPrice,SoldToStock_W_none,AvgSalesPeriod,AvgSalesPeriod_In,AvgSalesPeriod_Out,AvgSalesPeriod_OutByCondition,AvgSalesPeriod_OutByMinPrice,AvgSalesPeriod_none,Revenue,Revenue_In,Revenue_Out,Revenue_OutByCondition,Revenue_OutByMinPrice,Revenue_none,AvgSalePrice,AvgSalePrice_In,AvgSalePrice_Out,AvgSalePrice_OutByCondition,AvgSalePrice_OutByMinPrice,AvgSalePrice_none,Recap,Recap_In,Recap_Out,Recap_OutByCondition,Recap_OutByMinPrice,Recap_none,RecapPerStockQty_W,RecapPerStockQty_W_In,RecapPerStockQty_W_Out,RecapPerStockQty_W_OutByCondition,RecapPerStockQty_W_OutByMinPrice,RecapPerStockQty_W_none,RecapPerStock$_W,RecapPerStock$_W_In,RecapPerStock$_W_Out,RecapPerStock$_W_OutByCondition,RecapPerStock$_W_OutByMinPrice,RecapPerStock$_W_none,Margin,Margin_In,Margin_Out,Margin_OutByCondition,Margin_OutByMinPrice,Margin_none,MarginUnit,MarginUnit_In,MarginUnit_Out,MarginUnit_OutByCondition,MarginUnit_OutByMinPrice,MarginUnit_none,RecapUnit,RecapUnit_In,RecapUnit_Out,RecapUnit_OutByCondition,RecapUnit_OutByMinPrice,RecapUnit_none,Avg_Basket_IRR,Avg_Basket_Velocity,Avg_Basket_Margin,Avg_IRR,Avg_Margin,Avg_SaleDuration,FDR
16,2026-12,1111,21,2912.25,68582.837,312.518882,31,768.62,30.40374109,33,11,,,22,,1.13%,0.38%,,,0.007554297,,457.9393939,300.2727091,,,536.7727364,,1071.66,503.22,,,568.44,,32.47454545,45.74727273,,,25.83818182,,232.02,159.22,,,72.8,,0.079670358,0.054672504,,,0.024997854,,0.003,0.002321572,,,0.00106149,,-539.52,-103.24,,,-436.28,,-16.34909091,-9.385454545,,,-19.83090909,,7.030909091,14.47454545,,,3.309090909,,1,1,1,-0.923142919,-18.17392738,1197.24256,78.53%
16,2026-12,1112,52,3581,83868.589,286.6608056,58,1487.44,31.55502932,92,28,,,64,,2.57%,0.78%,,,0.017872103,,250.4565196,347.2499893,,,208.1093766,,2931.9,999.28,,,1932.62,,31.86847826,35.68857143,,,30.1971875,,831.92,238.92,,,593,,0.232314996,0.066718794,,,0.165596202,,0.010,0.002848742,,,0.007070585,,-1351.98,-464.85,,,-887.13,,-14.69543478,-16.60178571,,,-13.86140625,,9.042608696,8.532857143,,,9.265625,,1,1,1,-0.88115468,-16.83284278,949.5526145,72.94%
16,2026-12,1113,466,9979.25,231811.687,315.6085302,149,3701.74,35.45593181,310,203,16,,87,4,3.11%,2.03%,0.001603327,,0.00871809,0.000400832,217.5870955,220.1379286,346.5625,,184.5632195,290.5,11065.73,7308.25,615.64,,2986.44,155.4,35.69590323,36.00123153,38.4775,,34.32689655,38.85,3917.24,2739.08,276.54,,858.94,42.68,0.392538517,0.274477541,0.027711501,,0.086072601,0.004276875,0.017,0.01181597,0.001192951,,0.003705335,0.000184115,-3411.18,-2089.81,-100.49,,-1171.82,-49.06,-11.00380645,-10.29463054,-6.280625,,-13.4691954,-12.265,12.63625806,13.49300493,17.28375,,9.872873563,10.67,1,1,1,-0.864120653,-12.90070296,1204.635082,76.54%
16,2026-12,1114,2084,7627,177582.017,313.4183886,102,2636.29,36.88348217,233,139,28,,66,,3.05%,1.82%,0.003671168,,0.008653468,,218.317597,211.6043158,263.2857143,,213.3787909,,9004.49,5581.61,1089.4,,2333.48,,38.64587983,40.15546763,38.90714286,,35.35575758,,3914.5,2445.11,468.05,,1001.34,,0.513242428,0.320586076,0.06136751,,0.131288842,,0.022,0.013768905,0.002635684,,0.005638747,,-1721.49,-901.12,-252.03,,-568.34,,-7.388369099,-6.482877698,-9.001071429,,-8.611212121,,16.80042918,17.59071942,16.71607143,,15.17181818,,1,1,1,-0.827480771,-9.184531998,1082.112441,76.63%
16,2026-12,1115,3526,3537.666,86783.57,315.2076818,67,1765.78,37.42988761,112,46,39,1,21,5,3.17%,1.30%,0.011024218,0.000282672,0.005936117,0.001413361,238.8035714,209.7173913,318.4871795,166,205.5238095,39.2,4439.55,1905.25,1505.41,37.85,799.95,191.09,39.63883929,41.41847826,38.60025641,37.85,38.09285714,38.218,1736.07,754.71,549.88,18.53,330.82,82.13,0.490738809,0.213335572,0.155435816,0.005237917,0.093513633,0.023215872,0.020,0.008696462,0.006336222,0.00021352,0.003812012,0.000946377,-1033.05,-390.95,-367.29,-11.25,-197.81,-65.75,-9.223660714,-8.498913043,-9.417692308,-11.25,-9.41952381,-13.15,15.500625,16.40673913,14.09948718,18.53,15.75333333,16.426,1,1,1,-0.796621435,-5.155113309,615.1525798,87.43%
16,2026-12,1121,1,118,2932.785,150.208,1,24.34,57.7,1,1,,,,,0.85%,0.85%,,,,,417,417,,,,,0,0,,,,,0,0,,,,,-22.74,-22.74,,,,,-0.192711864,-0.192711864,,,,,-0.008,-0.007753722,,,,,-43.55,-43.55,,,,,-43.55,-43.55,,,,,-22.74,-22.74,,,,,1,1,2,-0.669343,1.19,910.08,80.00%
16,2026-12,1122,2,135,3263.07,199.6630889,,,50.88059259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,-0.589030667,-2.358740741,507.7003704,70.77%
16,2026-12,1123,22,364.5,8699.025,258.8982613,12,291.45,53.76869684,1,1,,,,,0.27%,0.27%,,,,,855,855,,,,,57.32,57.32,,,,,57.32,57.32,,,,,30.69,30.69,,,,,0.084197531,0.084197531,,,,,0.004,0.003527982,,,,,9.96,9.96,,,,,9.96,9.96,,,,,30.69,30.69,,,,,1,1,2,-0.722350237,0.206337449,1264.271317,85.18%
16,2026-12,1124,303,849.167,19059.123,323.7578649,12,298.51,49.7149656,21,9,6,,,6,2.47%,1.06%,0.007065748,,,0.007065748,278.8571429,226.7777778,324.5,,,311.3333333,1040.57,475.96,289.07,,,275.54,49.55095238,52.88444444,48.17833333,,,45.92333333,446.95,185.36,149.99,,,111.6,0.526339342,0.218284507,0.176631923,,,0.131422912,0.023,0.009725526,0.007869722,,,0.005855464,-52.22,-43.16,6.38,,,-15.44,-2.486666667,-4.795555556,1.063333333,,,-2.573333333,21.28333333,20.59555556,24.99833333,,,18.6,1,1,2,-0.745646569,-0.801717954,1260.70243,92.29%
16,2026-12,1125,1475,1478.25,31485.349,380.4600668,17,451.86,46.17730255,45,19,17,4,4,1,3.04%,1.29%,0.011500085,0.002705902,0.002705902,0.000676476,272.0666667,248.8421053,274.2941176,547.75,165,1,1939.56,797.89,794.66,164.05,156.57,26.39,43.10133333,41.99421053,46.74470588,41.0125,39.1425,26.39,665.43,235.87,303.91,52.45,69.65,3.55,0.450147133,0.159560291,0.205587688,0.035481143,0.047116523,0.002401488,0.021,0.007491421,0.009652426,0.001665854,0.00221214,0.000112751,-235.12,-103.85,-66.2,-33.29,-10.99,-20.79,-5.224888889,-5.465789474,-3.894117647,-8.3225,-2.7475,-20.79,14.78733333,12.41421053,17.87705882,13.1125,17.4125,3.55,1,1,2,-0.677484665,-1.000759344,715.92069,96.81%
